Date,Open,High,Low,Close,Volume,Currency
2021-03-18,8097.96,8166.53,8097.96,8152.21,152366096,EUR
2021-03-19,8112.12,8126.95,8033.15,8062.68,323041696,EUR
2021-03-22,8036.83,8091.34,8022.81,8090.13,111404800,EUR
2021-03-23,8066.38,8112.18,8018.04,8084.11,122838496,EUR
2021-03-24,8034.44,8058.8,8007.59,8050.18,111661600,EUR
2021-03-25,8016.23,8043.88,7937.37,8043.88,132749296,EUR
2021-03-26,8083.06,8127.47,8083.06,8114.88,109489296,EUR
2021-03-29,8146.09,8157.93,8114.94,8136.02,106120000,EUR
2021-03-30,8167.82,8239.19,8160.38,8231.89,107545504,EUR
2021-03-31,8215.95,8246.07,8215.95,8229.6,115549104,EUR
2021-04-01,8248.2,8310.65,8248.2,8308.22,106280200,EUR
2021-04-06,8388.41,8407.23,8361.41,8362.85,124265696,EUR
2021-04-07,8366.77,8378.72,8340.98,8347.8,98984496,EUR
2021-04-08,8382.75,8388.68,8337.22,8367.36,109440096,EUR
2021-04-09,8368.89,8396.58,8355.56,8386.77,92060400,EUR
2021-04-12,8394.37,8401.3,8362.39,8362.39,87897904,EUR
2021-04-13,8375.03,8401.25,8356.57,8379.31,104728304,EUR
2021-04-14,8375.21,8395.16,8369.13,8373.55,110126096,EUR
2021-04-15,8394.62,8422.58,8386.15,8412.95,100167200,EUR
2021-04-16,8413.76,8522.74,8413.76,8514.43,129539296,EUR
2021-04-19,8530.22,8538.95,8465.69,8465.69,100532400,EUR
2021-04-20,8464.27,8480.1,8319.08,8327.53,122091104,EUR
2021-04-21,8350.16,8362.68,8284.91,8355.86,109249800,EUR
2021-04-22,8382.49,8430.69,8376.54,8429.72,95281104,EUR
2021-04-23,8403.62,8419.31,8341.4,8405.25,89950496,EUR
2021-04-26,8421.14,8442.63,8394.93,8430.99,84069104,EUR
2021-04-27,8423.65,8428.19,8380.49,8410.02,90748000,EUR
2021-04-28,8429.37,8453.73,8411.36,8422.36,125287296,EUR
2021-04-29,8446.66,8448.09,8319.36,8352.79,129468896,EUR
2021-04-30,8373.91,8397.07,8342.23,8342.23,115298400,EUR
2021-05-03,8366.95,8408.18,8327.33,8396.15,82661400,EUR
2021-05-04,8402.25,8404.63,8178.2,8182.22,148223696,EUR
2021-05-05,8251.5,8343.27,8242.64,8343.27,126908304,EUR
2021-05-06,8346.79,8397.7,8289.83,8341.29,124972704,EUR
2021-05-07,8381.59,8449.58,8379.19,8449.58,116310400,EUR
2021-05-10,8448.52,8459.88,8419.89,8438.25,105033296,EUR
2021-05-11,8348.01,8348.51,8211.08,8278.82,138001104,EUR
2021-05-12,8289.82,8325.21,8259.0,8284.95,151651296,EUR
2021-05-13,8239.75,8329.85,8109.79,8308.48,107303296,EUR
2021-05-14,8351.76,8429.54,8318.92,8429.54,125665800,EUR
2021-05-17,8449.54,8468.42,8397.39,8416.58,103556304,EUR
2021-05-18,8468.11,8492.39,8399.1,8420.99,105951696,EUR
2021-05-19,8358.74,8358.74,8200.15,8282.14,120560704,EUR
2021-05-20,8329.31,8417.24,8276.53,8417.24,109080304,EUR
2021-05-21,8428.9,8468.58,8415.15,8451.7,120330304,EUR
2021-05-25,8493.88,8531.83,8478.49,8478.49,139618496,EUR
2021-05-26,8505.28,8520.44,8459.14,8476.65,99530400,EUR
2021-05-27,8455.58,8519.39,8449.87,8482.28,204514896,EUR
2021-05-28,8501.51,8565.73,8496.22,8548.74,92294096,EUR
2021-05-31,8537.62,8540.87,8496.59,8498.74,57670600,EUR
2021-06-01,8554.5,8639.2,8547.9,8583.51,91312200,EUR
2021-06-02,8593.18,8619.66,8577.23,8596.74,93349600,EUR
2021-06-03,8591.81,8618.03,8531.32,8607.37,78184896,EUR
2021-06-04,8616.19,8651.15,8594.78,8645.31,75632496,EUR
2021-06-07,8628.87,8671.48,8602.14,8652.8,78767696,EUR
2021-06-08,8654.35,8677.4,8628.3,8628.3,91668096,EUR
2021-06-09,8633.99,8644.68,8570.44,8605.03,84235800,EUR
2021-06-10,8613.42,8627.98,8570.72,8598.85,99005800,EUR
2021-06-11,8604.83,8673.44,8591.1,8666.38,94405296,EUR
2021-06-14,8697.92,8723.57,8666.74,8666.74,80345904,EUR
